user_id,timestamp,current_tx_amount,is_fraud,tx_count_10m,total_amount_10m
user_1013,2026-09-18 23:20:23.164189+00:00,1327.3269097550321,1,6,356.0106540800684
user_1043,2026-09-18 23:20:23.164189+00:00,1914.3324349953532,1,7,1442.5656215361764
user_1005,2026-09-18 23:20:23.164189+00:00,452.5772481169851,0,12,267.23275994592257
user_1020,2026-09-18 22:20:23.164189+00:00,1159.3349017610938,0,14,1233.4663451054314
user_1003,2026-09-18 23:20:23.164189+00:00,1007.1885040728415,0,11,1482.7332472830276
user_1042,2026-09-18 23:20:23.164189+00:00,83.03022282927006,0,12,705.9326238405018
user_1006,2026-09-18 22:20:23.164189+00:00,124.39820700434345,0,11,287.57236867243154
user_1017,2026-09-18 22:20:23.164189+00:00,793.2261150594165,0,6,36.119961855014424
user_1028,2026-09-19 01:20:23.164189+00:00,726.662645938935,0,10,561.6687213612782
user_1042,2026-09-19 03:20:23.164189+00:00,59.90119125037524,0,3,1104.8428949652014
user_1013,2026-09-19 01:20:23.164189+00:00,864.6908893817488,0,4,1000.1782752448416
user_1023,2026-09-19 02:20:23.164189+00:00,1920.4524327261147,1,13,924.0752808175661
user_1045,2026-09-19 00:20:23.164189+00:00,124.26149903481894,0,1,684.977511274132
user_1005,2026-09-19 03:20:23.164189+00:00,1062.8448753145467,0,9,1019.0232957795104
user_1036,2026-09-19 02:20:23.164189+00:00,854.0160629730374,0,2,530.0206474972974
user_1050,2026-09-19 03:20:23.164189+00:00,690.0729762487625,0,10,642.6336925652454
user_1031,2026-09-19 01:20:23.164189+00:00,333.27005764510346,0,3,404.73076302431946
user_1039,2026-09-19 03:20:23.164189+00:00,968.0627022687286,0,12,752.5094962884989
user_1029,2026-09-19 01:20:23.164189+00:00,1678.412491697912,0,14,909.996861543756
user_1008,2026-09-19 02:20:23.164189+00:00,1014.2025642069416,0,5,1457.3056031977487
user_1026,2026-09-19 01:20:23.164189+00:00,860.269374531883,0,7,1349.4035063431893
user_1002,2026-09-19 02:20:23.164189+00:00,556.0446457136857,0,7,1346.6074604273822
user_1001,2026-09-19 06:20:23.164189+00:00,207.66273736020045,0,8,340.985629508348
user_1036,2026-09-19 07:20:23.164189+00:00,1679.034111542704,1,4,875.949520214987
user_1035,2026-09-19 07:20:23.164189+00:00,717.8544464059335,0,7,942.270114311624
user_1003,2026-09-19 04:20:23.164189+00:00,1388.5552020771718,0,1,1140.0850565722733
user_1029,2026-09-19 06:20:23.164189+00:00,508.23464645375014,0,3,129.11078580177997
user_1004,2026-09-19 04:20:23.164189+00:00,768.1794712681606,0,4,173.65943582399404
user_1014,2026-09-19 04:20:23.164189+00:00,309.8962444146736,0,10,269.75536365157154
user_1041,2026-09-19 05:20:23.164189+00:00,644.6571322779196,0,4,1381.0830278680712
user_1050,2026-09-19 04:20:23.164189+00:00,1630.0086542210825,0,7,255.04391835293035
user_1024,2026-09-19 07:20:23.164189+00:00,1379.571377737089,0,3,214.76468785999015
user_1041,2026-09-19 09:20:23.164189+00:00,179.53419195030924,0,10,605.1609618427831
user_1007,2026-09-19 10:20:23.164189+00:00,202.7595032739233,0,5,1112.8470729470987
